marca,precoComDesconto,precoSemDesconto,Condicao,VENDIDO,tamanho_mapeado,Cores_Agrupadas
6448,24000.0,72000.0,4,0,2,1
1693,8900.0,15467.566824463362,4,1,4,12
523,12000.0,42000.0,4,0,3,1
10361,5950.0,21000.0,4,0,3,9
9605,25000.0,59000.0,4,0,3,19
2333,10.0,29.9,0,1,3,16
10305,19.98,59.9,0,0,3,5
73,9000.0,27900.0,4,0,3,21
4199,4500.0,6000.0,4,1,3,1
1977,12.0,39.99,0,1,3,14
8379,25000.0,84500.0,2,0,3,2
7302,12.58,119.0,0,1,0,18
8994,76000.0,2.16,4,0,3,18
10359,47.5,109.9,0,1,3,22
5395,8000.0,29000.0,4,1,2,1
7987,8500.0,23000.0,4,1,4,1
10361,19.5,65.0,0,1,2,5
1355,9000.0,27000.0,4,1,2,18
9491,42.25,169.0,0,1,2,18
4199,5500.0,9000.0,4,1,4,19
3372,68.4,228.9,0,1,3,18
1242,17.73,70.9,0,0,2,14
10361,41.97,139.9,0,1,0,10
4793,12000.0,55000.0,2,1,3,18
6008,12500.0,40000.0,2,0,3,1
4318,31.46,69.9,0,1,3,1
8790,42000.0,1.3,4,0,4,18
8460,24.98,99.9,0,0,3,18
8195,13.47,199.9,0,1,2,14
4793,9900.0,35000.0,3,0,3,2
8316,6600.0,17000.0,4,0,0,1
6168,25.7,129.9,0,0,2,5
8597,16.48,65.9,0,1,2,18
5542,26.7,89.0,0,0,3,14
4462,7.5,39.99,0,1,2,19
7020,89.0,499.0,0,1,3,14
1357,45000.0,1.1,4,1,4,12
905,34.9,139.0,0,1,2,12
8896,48.73,250.0,0,0,0,20
10302,14.29,69.9,0,0,3,14
7072,7000.0,24000.0,4,1,2,18
523,18000.0,59000.0,2,1,3,2
4767,10000.0,35000.0,4,1,3,18
1014,4000.0,9000.0,4,1,4,3
9439,47.5,189.99,0,0,0,21
5321,10800.0,29000.0,4,0,2,1
8072,37.48,149.9,0,0,3,22
5404,36.0,120.0,0,1,3,1
7072,86.23,344.9,0,1,3,19
976,22.5,89.99,0,1,2,18
7072,6000.0,13900.0,4,1,2,19
3734,44.59,231.0,0,0,3,22
6619,12000.0,42000.0,4,0,0,15
1955,71.96,179.9,0,0,2,18
8073,5000.0,32000.0,2,1,3,20
2227,115.62,295.0,0,1,2,19
7971,34800.0,79000.0,4,0,3,7
158,50.0,149.99,0,0,1,1
8601,47.0,219.0,0,1,4,6
7263,65.97,219.9,0,0,2,18
3827,19.75,79.0,0,1,3,10
9406,34.98,139.9,0,0,0,1
158,7000.0,24500.0,4,1,3,18
10361,29.9,89.99,0,1,4,1
9320,12000.0,39000.0,4,0,2,18
6590,21000.0,42000.0,4,0,4,1
3721,3500.0,9000.0,4,1,4,3
8601,20.0,50.0,0,1,3,12
3180,69.9,239.99,0,1,3,12
3457,14.9,39.0,0,0,4,19
2128,17.9,49.9,0,1,3,14
8597,39.75,159.0,0,1,4,18
7072,6000.0,14900.0,4,0,2,19
3266,14.18,79.9,0,1,3,14
560,12000.0,37000.0,4,1,0,18
8597,13.98,79.9,0,0,1,14
7710,10000.0,48000.0,4,1,2,19
8127,17.77,79.0,0,0,2,14
5395,9000.0,32000.0,4,0,3,9
1786,1800.0,3000.0,4,1,4,5
8597,12.5,49.99,0,1,2,5
7302,15000.0,42000.0,4,1,4,18
2483,33.0,110.0,0,0,3,1
10361,6600.0,16500.0,4,1,2,21
5421,11000.0,49000.0,4,1,3,20
10361,4800.0,11000.0,4,1,2,18
4199,3500.0,11500.0,4,1,2,18
3847,30.0,100.0,0,1,0,6
420,27000.0,89000.0,4,0,3,22
4572,39000.0,1.1,4,1,3,3
5395,12000.0,46000.0,4,0,3,5
10311,23.7,79.0,0,1,3,12
4199,49.98,179.9,0,1,2,22
9894,12500.0,37500.0,4,1,3,16
5571,14.9,129.0,0,1,0,19
4364,6000.0,21000.0,4,1,2,15
8597,14.0,69.99,0,1,2,3
5372,42.99,119.99,0,0,3,1
10279,23.9,79.9,0,1,3,14
523,13900.0,41700.0,4,0,3,18
892,43.26,127.54,0,0,4,19
5473,79.98,299.9,0,0,3,1
5345,10.5,34.9,0,1,2,19
8847,21.68,270.0,0,1,3,14
8440,15000.0,45000.0,4,0,0,19
6848,13.65,39.0,0,1,3,14
2299,5.0,79.99,0,1,4,14
2990,45.0,180.0,0,0,3,19
1355,171.0,380.0,1,0,1,1
5275,9000.0,31000.0,4,0,3,18
3595,8000.0,28000.0,4,0,4,1
9762,13.12,89.99,0,0,3,1
3992,38000.0,89000.0,4,0,0,1
10361,6000.0,19000.0,4,1,3,4
2754,14400.0,39000.0,4,1,3,18
3755,12000.0,42000.0,4,1,4,17
661,105.9,349.9,0,1,3,5
4225,47.75,189.99,0,1,3,18
2345,17.48,69.9,0,0,4,14
10361,6000.0,21000.0,4,1,3,23
9806,72.48,289.9,0,1,3,18
1357,11500.0,43500.0,4,1,2,13
2705,17.48,69.9,0,0,2,18
8072,59.7,199.0,0,0,3,22
3721,3000.0,9000.0,4,0,0,18
523,10000.0,32000.0,2,1,3,21
9439,42.5,159.9,0,1,3,14
5526,33000.0,89000.0,4,0,3,2
279,5000.0,12000.0,4,1,2,21
6225,8.5,39.9,0,1,0,5
8699,21.2,269.9,0,1,3,1
8597,6.76,59.9,0,1,3,19
8597,17.5,69.99,0,1,2,3
8597,12.48,49.9,0,0,4,3
6331,10.58,69.9,0,1,1,1
1786,2000.0,4500.0,4,1,4,1
2345,31.94,127.77,0,0,4,3
6659,56.98,259.9,0,1,3,5
8295,22.31,89.9,0,0,3,22
10361,4000.0,8000.0,4,0,3,11
8195,10000.0,38000.0,4,1,3,21
8517,35.9,97.93,0,1,2,21
6448,28800.0,79000.0,4,1,4,18
3229,7000.0,15467.566824463362,4,1,3,6
4254,10.57,91.1,0,1,2,18
4984,24.4,78.99,0,0,0,18
76,14000.0,50000.0,4,0,3,21
6355,13.38,110.99,1,0,0,3
947,10000.0,45000.0,4,1,3,5
8537,187.5,750.0,0,1,4,12
3734,7000.0,21000.0,4,1,3,9
3178,8000.0,29000.0,4,0,2,18
8537,112.5,449.99,0,0,3,12
8931,59.93,599.0,0,0,2,1
8601,31.68,158.4,0,1,2,3
3734,155.0,449.0,0,0,3,18
9778,5000.0,17500.0,4,1,3,18
76,9900.0,15467.566824463362,4,0,3,18
7072,5000.0,16000.0,2,1,3,1
3178,12000.0,42000.0,4,0,2,18
4841,3500.0,11000.0,4,1,4,7
1675,70.0,260.0,1,1,3,6
6659,47.25,309.99,0,1,3,12
1564,31.27,139.0,0,1,3,1
9170,19.9,69.9,0,1,2,12
3372,83.7,279.99,0,0,3,14
3075,39.9,139.99,0,1,2,22
2597,13000.0,42000.0,4,1,3,15
3721,32.48,129.9,0,1,3,21
3734,6500.0,45500.0,4,1,3,12
8597,17.99,119.9,0,0,2,1
10445,24.0,79.99,0,1,2,22
10361,6000.0,16000.0,4,1,3,3
2973,7000.0,21000.0,4,0,3,3
3132,24.9,89.99,0,1,0,3
9248,21.9,55.0,1,1,4,18
9605,81.4,490.0,0,0,2,3
7402,6500.0,21000.0,4,1,4,1
9595,20.7,69.0,0,0,0,3
4658,3000.0,8000.0,4,1,4,2
2067,3.14,101.47,0,1,4,1
3474,6000.0,18000.0,3,1,3,14
8716,30.0,119.99,0,0,3,3
6765,55.0,119.9,0,1,2,20
9044,12000.0,39000.0,4,0,3,18
3313,2500.0,15467.566824463362,4,0,3,6
6619,16500.0,43000.0,4,1,3,1
10361,4500.0,12000.0,4,0,3,18
4000,12.42,135.0,0,1,4,1
2969,19000.0,76000.0,2,1,3,19
1014,2000.0,9000.0,4,1,4,19
523,12000.0,42000.0,4,1,3,15
5100,22.5,89.99,0,1,2,18
4824,10000.0,35000.0,4,1,4,12
10361,6000.0,15000.0,4,1,3,18
3474,10000.0,35000.0,4,1,2,2
1517,90000.0,2.1,4,1,1,20
2557,6000.0,15000.0,4,1,3,5
8597,10.0,59.9,0,1,2,1
8692,9.97,119.9,0,0,4,3
1014,1500.0,5000.0,4,1,4,21
8601,19.9,89.9,0,1,4,14
4730,50000.0,2.68,4,1,3,18
8440,35000.0,99000.0,4,0,3,5
6619,9900.0,33000.0,2,1,3,2
1355,12000.0,33000.0,4,0,2,9
3300,21000.0,64000.0,4,0,3,5
4135,9000.0,27000.0,4,0,3,18
4135,9000.0,27000.0,4,0,3,18
9439,18000.0,94000.0,4,1,4,1
2018,8000.0,29000.0,4,1,2,18
5395,81.0,270.0,0,0,3,21
6659,8000.0,25000.0,4,1,2,5
4135,9000.0,27000.0,4,0,3,15
523,13.98,578.0,0,1,0,3
9318,11000.0,15467.566824463362,4,0,3,15
5395,14400.0,48000.0,4,0,3,12
3702,17.69,329.99,0,1,3,18
10361,27.48,89.9,0,0,2,14
2821,17.97,59.9,0,0,2,14
89,8500.0,15000.0,4,1,0,1
3417,30.85,89.9,0,0,3,1
3472,40.9,69.9,1,1,0,18
3474,6000.0,24000.0,4,1,3,18
1786,2400.0,4000.0,4,0,0,1
5193,23.97,79.9,0,0,2,5
6414,9.55,89.9,0,1,0,14
10361,29.9,89.9,0,1,3,5
4364,4000.0,12000.0,4,1,3,9
6162,12000.0,41000.0,4,1,4,7
5553,16000.0,50000.0,2,0,3,18
4124,8.79,55.9,0,1,4,5
4906,8000.0,28000.0,4,0,3,18
3021,31.3,239.9,0,1,3,12
4710,34000.0,1.02,2,0,1,18
5275,10000.0,35000.0,4,1,2,18
3892,7900.0,18000.0,4,1,0,5
2127,21.0,69.99,0,0,3,3
9714,55.97,159.9,0,0,3,18
1748,7000.0,21000.0,4,1,4,18
4767,10000.0,35000.0,4,0,2,3
593,34.2,114.0,0,1,2,3
3879,20000.0,60000.0,4,1,4,19
747,26700.0,85000.0,3,0,3,18
1692,58.0,179.9,0,0,0,14
4617,8000.0,26900.0,4,1,0,18
570,3850.0,35000.0,2,1,3,6
6907,9000.0,35000.0,4,0,3,2
1000,18000.0,54000.0,4,1,3,19
646,5000.0,15000.0,4,1,3,19
1629,55.0,219.99,0,1,0,3
6659,87.25,329.0,0,1,3,14
8601,49.0,129.0,0,1,3,6
5357,66.9,222.99,0,0,3,19
6619,19170.0,63900.0,2,0,3,2
8808,50.0,150.0,1,1,2,6
6366,25.0,100.0,0,1,3,18
3892,4800.0,14400.0,4,1,2,3
291,89.0,237.0,1,1,0,6
1782,21.0,69.99,0,1,4,14
2055,12000.0,49000.0,4,1,2,14
523,3500.0,15467.566824463362,4,1,4,19
4792,58.0,169.9,0,0,3,14
5164,10.0,29.9,0,1,4,18
4767,39.8,189.0,0,1,4,14
7481,17500.0,49000.0,4,0,3,19
23,8000.0,15467.566824463362,4,0,3,3
4199,4000.0,15000.0,4,1,3,22
1748,72.9,169.9,1,1,3,14
3603,57.0,189.99,0,0,3,14
10456,30.0,109.0,0,1,3,3
9375,16.9,32.0,0,0,0,0
4486,10.0,39.99,0,0,3,19
4393,30000.0,90000.0,4,1,3,3
8537,9000.0,30000.0,4,1,3,4
4782,29.9,139.0,0,0,3,10
8601,45.0,70.0,1,1,4,6
4793,24000.0,90000.0,4,1,4,19
747,10000.0,32000.0,4,0,3,18
5035,17.95,89.99,0,1,3,1
8597,12.32,29.9,0,0,2,1
1330,25.7,69.0,0,1,2,5
4767,14400.0,49000.0,4,1,3,21
5636,1.19,4.8,4,0,4,5
8597,19.97,49.9,0,1,0,19
8597,7.26,99.0,0,1,1,14
1355,15000.0,52500.0,4,1,2,18
1173,24.75,99.9,0,0,2,10
5395,9000.0,31000.0,4,0,3,18
8537,10000.0,35000.0,4,1,3,18
7302,50.9,127.9,0,1,1,5
9569,9.08,69.99,0,1,3,3
4256,26.11,117.05,0,0,0,0
4924,14.9,49.99,0,1,2,3
8597,13.65,79.9,0,0,4,12
661,14000.0,42000.0,4,1,3,18
2025,1.9,6.65,4,1,4,15
523,10000.0,45000.0,4,0,3,9
4846,52.5,209.99,0,1,3,18
8716,31.96,79.9,0,1,0,1
2873,24.2,64.0,0,1,0,5
3011,10000.0,32000.0,4,1,2,18
2407,51000.0,1.39,3,0,3,6
2743,19000.0,39000.0,4,1,2,18
1014,2400.0,15467.566824463362,4,0,4,3
8537,11000.0,45000.0,4,1,3,22
396,28.7,79.0,0,1,2,14
5868,200.7,669.0,0,1,4,12
8597,10.0,19.0,0,1,0,14
2205,32.5,129.99,0,1,3,12
4049,40000.0,90000.0,4,0,3,2
10361,6900.0,19000.0,4,1,2,16
7457,12300.0,40900.0,2,0,3,0
9183,21000.0,63000.0,4,1,3,3
8295,10000.0,39000.0,4,0,3,3
10361,6000.0,21000.0,4,1,2,18
7383,22.25,89.0,0,1,3,12
2597,11500.0,37000.0,4,1,2,14
3721,5000.0,15000.0,4,1,3,18
1042,15000.0,49000.0,4,0,3,18
3639,1.36,79.99,0,1,3,5
8601,9.18,98.0,0,0,2,18
6168,95.0,379.99,0,0,3,18
10361,59.8,189.94,0,1,3,21
3474,119.9,419.99,0,1,0,14
3694,10000.0,35000.0,2,1,3,13
3545,6.97,89.99,0,1,3,1
747,12000.0,38000.0,4,0,3,15
301,34.0,85.0,0,0,3,14
4462,13.38,70.0,0,0,4,20
2451,27.48,109.9,0,0,2,22
6619,15000.0,48000.0,4,1,3,19
5266,28.9,69.9,0,1,2,3
3513,30000.0,1.05,4,1,3,18
5807,14400.0,41000.0,4,0,3,16
358,7200.0,18000.0,4,0,3,22
4199,4800.0,9000.0,4,1,0,18
9439,35.97,119.9,0,1,3,1
3178,8500.0,29000.0,4,1,2,18
747,13000.0,39000.0,4,0,3,0
3474,108.0,209.0,0,0,2,3
1595,31.96,79.91,0,1,2,12
2407,14000.0,39000.0,4,1,3,3
6414,14.9,59.99,0,1,2,14
5221,2000.0,8000.0,4,1,3,5
8167,17.6,44.9,0,1,3,14
2974,18.9,49.9,0,1,3,18
6659,12000.0,49000.0,4,0,3,1
3599,89.7,139.99,0,1,3,14
2345,9500.0,34000.0,4,0,3,13
8867,36.0,119.99,0,1,2,14
947,8400.0,28000.0,4,1,2,14
3721,19.73,78.9,0,1,0,14
1564,23.97,79.9,0,0,3,1
1719,93.92,558.0,0,0,3,10
1702,8900.0,26000.0,4,1,3,18
8597,15.0,49.99,0,0,2,3
7215,20.1,67.0,0,0,4,1
2317,8000.0,36000.0,4,1,3,2
1027,29000.0,93000.0,4,0,3,18
4174,8000.0,37000.0,4,0,4,19
289,50000.0,1.8,4,1,2,18
1382,24.9,79.0,0,1,3,1
5212,10800.0,29000.0,4,1,3,22
6310,62000.0,1.89,4,0,3,22
6148,24.98,99.9,0,1,2,3
9639,14.9,49.9,0,1,2,14
5917,8500.0,29750.0,4,1,2,14
10361,3000.0,19000.0,3,1,2,18
5917,22.5,75.0,0,1,3,3
7984,24.98,99.9,0,0,3,20
7230,31.6,109.99,0,1,3,14
10500,40.0,100.0,0,1,5,6
310,25.35,169.0,0,1,0,12
5638,5000.0,39000.0,4,0,3,16
4199,5000.0,11000.0,4,1,0,9
6619,1.467,4.89,2,0,3,18
3474,5000.0,12000.0,3,1,3,22
4617,10000.0,35000.0,4,0,4,3
1014,1500.0,5000.0,4,1,4,1
9769,15.0,59.99,0,1,0,22
7883,17.48,69.9,0,0,3,12
1564,23.73,99.9,0,1,3,21
8776,18.69,89.99,0,1,2,5
6619,17400.0,59000.0,2,1,4,7
3721,19.98,79.9,0,0,2,5
988,1.68,79.9,0,1,2,14
158,25.8,129.0,0,1,3,21
1638,5500.0,15467.566824463362,4,1,0,3
3184,83.9,210.0,0,1,3,18
4199,6000.0,21000.0,4,0,0,18
8597,13.98,69.9,0,1,4,1
8094,14.97,49.9,0,1,2,14
6619,16410.0,54700.0,2,1,0,1
3313,8000.0,21000.0,4,0,3,18
1638,65.0,259.99,0,0,2,5
1638,112.0,160.0,0,0,2,19
1297,6000.0,24000.0,4,0,2,14
6263,15.9,49.9,0,1,0,19
7295,14.7,49.9,0,0,2,14
7609,12.0,39.99,0,1,0,5
6423,12.5,49.99,0,1,2,5
2440,24.75,99.0,0,1,3,14
3178,70.0,279.99,0,0,2,1
9919,35000.0,99000.0,4,1,4,18
3474,29.0,179.0,0,1,3,19
8094,14.97,49.9,0,0,2,1
4462,21.0,59.9,0,0,2,21
5821,17.5,49.99,0,1,1,14
8094,12.0,39.99,0,1,3,1
9439,25.48,139.9,0,1,4,14
6225,11.9,39.9,0,1,3,14
2407,32000.0,99000.0,4,1,3,3
7148,12000.0,36000.0,4,1,4,18
6882,6000.0,17000.0,4,1,3,10
1675,8000.0,28000.0,4,1,4,18
1003,62.5,249.99,0,0,3,3
5212,9000.0,34000.0,4,1,3,19
523,13000.0,52000.0,4,0,3,3
8786,24.9,69.99,0,1,3,14
1719,19000.0,52000.0,4,0,3,16
8597,28.02,109.9,1,1,4,22
3831,19.9,69.99,0,0,4,14
396,22.38,113.22,0,0,0,18
4900,19.98,79.9,0,0,3,20
2597,12000.0,38900.0,4,0,3,18
8578,29.98,119.9,0,1,2,5
1517,59000.0,1.8,4,1,4,19
5807,8500.0,39000.0,4,1,3,14
2986,11.7,39.9,0,1,0,21
5395,10000.0,52000.0,4,1,2,2
8699,147.48,569.9,0,1,0,18
7939,35.9,119.9,1,1,1,1
4730,63000.0,2.6,4,0,3,19
1827,9000.0,23000.0,4,1,4,3
121,17.5,70.0,0,1,4,3
7331,42.99,89.0,0,0,3,18
8597,17.5,69.99,0,0,3,19
1014,2000.0,15467.566824463362,4,0,4,19
4519,18000.0,57000.0,4,1,3,22
8597,22.01,79.9,0,0,3,1
523,10000.0,40000.0,4,1,3,9
2847,18000.0,49000.0,4,1,1,18
6310,15000.0,52500.0,4,0,2,15
1638,9000.0,31500.0,4,1,1,18
8460,4800.0,16800.0,4,1,4,18
2903,16.7,39.0,0,1,4,12
6732,16000.0,69000.0,4,0,4,6
1355,9000.0,28000.0,4,1,3,9
6373,3000.0,7000.0,4,0,4,5
3011,9500.0,25000.0,2,1,0,15
5553,9000.0,32000.0,4,1,3,3
8335,27.25,89.0,0,0,2,18
5187,52.47,149.9,0,1,3,19
523,9000.0,27000.0,4,0,3,12
761,20.77,52.57,0,1,2,1
7564,6200.0,18500.0,4,0,4,3
5395,15.2,239.99,0,1,3,1
10500,40.0,167.0,0,1,5,18
7630,4500.0,17990.0,2,1,4,15
10500,79.0,189.0,1,1,3,6
4199,24.9,89.99,0,0,3,3
5885,23.91,89.99,0,1,2,14
5035,29.9,99.99,0,1,3,12
8277,11.75,60.0,0,0,0,21
7987,88.5,295.0,0,1,0,1
1757,12000.0,61000.0,2,1,3,9
10361,35.97,119.9,0,1,2,1
7458,82000.0,4.25,4,1,3,14
3313,7200.0,21600.0,4,0,3,12
7669,7.12,179.9,0,1,3,1
4462,20.97,59.9,0,0,2,1
3939,14.7,49.9,0,0,2,14
7884,8000.0,28000.0,4,1,2,18
380,6000.0,25000.0,4,0,3,11
2973,8000.0,28000.0,4,1,3,14
2754,23000.0,80500.0,4,1,4,4
8323,56.97,189.9,0,1,3,14
158,5000.0,12900.0,4,1,4,21
3313,29.0,79.99,0,0,3,14
5571,28.9,219.0,0,1,0,14
1733,10000.0,30000.0,4,0,3,5
73,10000.0,31000.0,4,0,3,3
761,11.12,239.0,0,1,3,14
8597,19.61,159.9,0,0,0,0
2205,18.13,99.9,0,1,3,14
8931,11000.0,39990.0,4,1,3,1
8295,149.9,498.0,0,0,3,12
3721,3500.0,10000.0,4,1,3,5
1638,8000.0,29000.0,4,0,2,5
2319,37.5,149.99,0,1,3,16
523,14400.0,49000.0,4,1,3,9
10361,22.48,89.9,0,1,3,14
10360,24.98,99.9,0,0,3,5
5162,42.98,189.9,0,0,4,20
8350,27.0,89.99,0,1,3,14
4318,5.17,69.0,0,1,2,1
8601,20.0,90.0,0,1,1,6
3721,31.97,89.9,0,1,2,14
523,7225.0,20000.0,4,1,3,3
4364,5500.0,15467.566824463362,4,1,4,6
2205,5.99,79.9,0,1,3,3
3934,19.98,79.9,0,1,2,5
8716,21.0,59.9,0,1,3,14
6809,25.0,59.0,0,1,3,6
2407,20000.0,15467.566824463362,4,0,4,18
7754,12000.0,35900.0,2,1,3,2
1569,23.9,89.9,0,1,3,1
6124,30000.0,99000.0,4,1,4,22
8295,14400.0,35990.0,2,0,4,18
8460,55.0,159.0,0,1,3,12
10361,6000.0,21000.0,2,1,2,18
3133,89.9,299.99,0,1,2,14
7773,6.99,11.7,4,1,4,4
6168,8000.0,26000.0,4,1,2,21
1675,4000.0,11000.0,4,0,3,2
3229,34800.0,87600.0,4,1,3,18
1027,25000.0,89000.0,4,0,3,1
8597,14.7,49.0,0,0,2,18
8313,22.5,89.99,0,0,3,18
3474,5500.0,16000.0,4,0,3,14
2045,7.22,25.0,0,1,3,1
2538,22.49,139.9,0,0,3,14
8597,135.0,184.0,0,1,3,21
7362,12500.0,34000.0,2,1,1,16
3021,56.9,189.9,0,1,3,12
5395,12000.0,39000.0,4,0,3,19
1564,12.48,49.9,0,0,0,18
10459,22.5,89.99,0,0,2,19
9605,12600.0,69000.0,4,1,2,1
4318,40.0,119.0,0,1,3,6
380,6000.0,12000.0,4,1,3,18
6594,12.5,50.0,0,1,3,14
1357,16000.0,49000.0,4,1,3,18
10361,7225.0,25500.0,2,1,3,19
8094,25.5,89.9,0,0,3,5
10330,942.9,6286.0,0,0,3,0
9414,4000.0,15467.566824463362,4,1,4,18
2792,243.9,813.0,0,1,4,3
1141,10000.0,39000.0,4,1,3,2
1785,12.4,89.99,0,0,4,3
8597,16.13,89.99,0,0,3,12
9439,7200.0,23000.0,2,0,1,3
1786,3600.0,9000.0,4,1,4,1
3294,4000.0,12000.0,4,1,3,18
3500,18.5,59.99,0,1,2,14
4199,3800.0,9000.0,4,1,2,1
8931,60.0,189.0,0,1,3,3
7920,20.7,69.0,0,1,3,14
8597,21.0,69.99,0,1,0,18
8645,14.9,39.99,1,1,3,1
10037,15.0,59.99,0,1,2,19
4536,10000.0,35000.0,4,0,3,14
2317,99.9,300.0,0,1,3,16
578,34.9,189.0,0,1,2,14
3474,6000.0,21000.0,4,1,0,3
76,10000.0,34000.0,4,1,3,1
226,10000.0,29000.0,4,1,3,5
8537,10000.0,29000.0,4,0,3,16
5711,7.57,59.9,0,0,0,10
4225,36.25,144.99,0,0,3,3
398,12000.0,36000.0,4,1,3,9
9948,6000.0,18000.0,4,1,3,9
7886,39950.0,1.41,4,1,3,18
6674,24.0,79.9,0,1,3,18
5553,18000.0,59000.0,2,0,2,22
4318,13.8,45.9,0,1,1,14
2407,25200.0,51000.0,4,0,3,1
3474,73.7,229.0,0,0,3,14
1564,67.0,139.99,0,1,2,18
8537,7000.0,21000.0,4,1,3,12
8597,6.89,40.0,0,0,3,18
761,26.9,69.9,0,0,3,16
5915,59.0,189.99,0,1,2,14
9439,53.97,179.9,0,1,2,0
7451,51.6,129.9,1,0,3,3
8313,14.98,59.9,0,0,2,5
7669,9.22,139.9,0,1,3,1
