marca,precoComDesconto,precoSemDesconto,Condicao,tamanho_mapeado,Cores_Agrupadas
2565,14.02,39.9,4,6,3
1468,18000.0,59000.0,0,5,14
2751,52500.0,1.749,0,5,10
648,2700.0,27000.0,0,5,12
6428,3900.0,10000.0,4,5,1
3657,19.71,49.04,0,5,5
1844,9000.0,32000.0,0,5,1
395,40.0,76.0,4,5,4
2703,8000.0,28900.0,2,5,1
322,12000.0,42000.0,4,5,5
4248,9000.0,27000.0,0,5,18
5940,24.0,79.99,2,6,18
3229,54.9,139.9,4,5,2
170,18000.0,54000.0,4,4,3
1216,9.25,39.9,4,6,12
2557,12.0,39.99,0,4,14
6428,12000.0,34000.0,0,5,18
3148,8400.0,45000.0,0,4,18
2945,10000.0,43000.0,4,6,18
5841,8000.0,39000.0,4,6,21
2549,10.0,89.9,0,5,18
6514,24.5,69.9,0,7,6
5814,10000.0,30000.0,4,5,7
5319,40000.0,1.1,0,4,14
3074,5000.0,12000.0,4,5,1
1216,8000.0,28000.0,4,6,17
617,14400.0,48000.0,4,6,19
4085,5500.0,16500.0,3,5,18
3971,28.63,1090.0,4,6,18
2800,12.0,39.99,4,5,18
814,9000.0,28000.0,4,4,3
3075,4000.0,15000.0,0,5,14
4102,12000.0,36000.0,0,4,5
3324,50.0,199.99,4,4,2
402,10000.0,29000.0,0,1,0
935,12000.0,41000.0,0,1,18
6428,32.48,149.9,4,6,3
6428,14000.0,59000.0,4,1,9
5861,21.5,300.0,0,6,14
6428,71.5,285.98,0,5,18
4355,41.97,139.9,4,5,5
4388,15.73,62.9,0,4,22
3324,9000.0,31500.0,4,5,3
3324,39.0,129.99,0,4,18
3852,19.98,79.9,0,5,19
2800,35.0,198.0,4,5,2
2524,6000.0,18000.0,0,1,14
2800,56.7,189.0,4,5,18
5123,6000.0,15000.0,4,5,1
322,1500.0,3500.0,0,5,14
979,12000.0,37000.0,4,5,9
5278,29000.0,1.0,1,5,21
6428,3500.0,10500.0,4,6,1
2680,44.7,149.0,4,4,15
4641,16800.0,43000.0,4,5,6
43,16000.0,48000.0,4,5,5
3883,14000.0,65000.0,0,6,22
1044,24000.0,72000.0,4,6,14
1870,8900.0,15509.377945804938,0,5,18
5378,12000.0,42000.0,0,4,21
3902,5950.0,21000.0,0,5,18
3735,25000.0,59000.0,0,1,18
1017,10.0,29.9,4,4,9
1339,19.98,59.9,0,4,14
449,9000.0,27900.0,4,5,18
4524,4500.0,6000.0,0,4,5
4486,12.0,39.99,0,5,3
5011,25000.0,84500.0,2,5,19
6428,12.58,119.0,0,4,21
5245,76000.0,2.16,4,5,18
1931,47.5,109.9,0,5,18
3425,8000.0,29000.0,0,5,1
3316,8500.0,23000.0,0,4,3
5319,19.5,65.0,0,6,3
6246,9000.0,27000.0,4,4,0
5324,42.25,169.0,0,6,0
4812,5500.0,9000.0,4,5,12
5319,68.4,228.9,0,4,18
2839,17.73,70.9,4,5,18
5378,41.97,139.9,4,1,16
265,12000.0,55000.0,4,5,18
966,12500.0,40000.0,0,5,3
6480,31.46,69.9,4,1,18
3614,42000.0,1.3,0,4,19
3193,24.98,99.9,4,5,18
5283,13.47,199.9,4,5,12
3958,9900.0,35000.0,0,4,14
4408,6600.0,17000.0,0,4,22
322,25.7,129.9,4,4,5
4102,16.48,65.9,4,4,14
5284,26.7,89.0,4,1,18
1638,7.5,39.99,0,4,12
4355,89.0,499.0,0,5,1
43,45000.0,1.1,4,5,13
4812,34.9,139.0,4,5,18
2384,48.73,250.0,4,5,18
4252,14.29,69.9,2,5,22
2529,7000.0,24000.0,4,5,15
857,18000.0,59000.0,0,5,3
2127,10000.0,35000.0,4,5,15
812,4000.0,9000.0,2,4,9
6428,47.5,189.99,0,4,14
3626,10800.0,29000.0,0,5,3
1328,37.48,149.9,2,4,18
2127,36.0,120.0,4,4,15
1067,86.23,344.9,0,6,3
6139,22.5,89.99,0,5,3
5080,6000.0,13900.0,0,5,14
5825,44.59,231.0,0,1,3
5825,12000.0,42000.0,0,6,1
5283,71.96,179.9,4,5,4
625,5000.0,32000.0,4,6,7
6485,115.62,295.0,1,5,10
4085,34800.0,79000.0,4,5,2
4506,50.0,149.99,0,5,1
4812,47.0,219.0,4,5,18
2648,65.97,219.9,0,5,19
242,19.75,79.0,4,6,3
2203,34.98,139.9,4,5,21
2668,7000.0,24500.0,0,5,14
5872,29.9,89.99,0,1,18
322,12000.0,39000.0,4,5,16
4102,21000.0,42000.0,4,5,14
1409,3500.0,9000.0,0,5,16
812,20.0,50.0,4,5,10
2529,69.9,239.99,4,5,1
1546,14.9,39.0,4,5,18
2137,17.9,49.9,1,5,18
5878,39.75,159.0,4,5,15
5319,6000.0,14900.0,0,1,18
2569,14.18,79.9,4,6,18
5385,12000.0,37000.0,4,5,11
2648,13.98,79.9,0,4,19
1976,10000.0,48000.0,0,4,14
979,17.77,79.0,4,5,18
1047,9000.0,32000.0,4,4,15
2552,1800.0,3000.0,4,6,2
5229,12.5,49.99,4,4,18
6428,15000.0,42000.0,0,5,18
5937,33.0,110.0,0,5,1
1077,6600.0,16500.0,1,5,6
2529,11000.0,49000.0,0,5,19
4322,4800.0,11000.0,4,5,3
5385,3500.0,11500.0,0,4,21
540,30.0,100.0,0,6,1
322,27000.0,89000.0,4,4,21
2256,39000.0,1.1,0,4,12
5371,12000.0,46000.0,4,5,9
2127,23.7,79.0,4,5,14
5319,49.98,179.9,0,4,1
5388,12500.0,37500.0,0,1,22
5378,14.9,129.0,4,5,1
4533,6000.0,21000.0,0,4,18
1016,14.0,69.99,0,1,14
898,42.99,119.99,0,4,12
6428,23.9,79.9,4,4,5
3928,13900.0,41700.0,4,6,18
1709,43.26,127.54,0,5,3
4498,79.98,299.9,0,1,14
6428,10.5,34.9,4,5,3
1106,21.68,270.0,0,5,18
5371,15000.0,45000.0,0,5,12
6428,13.65,39.0,4,5,15
3852,5.0,79.99,0,4,18
322,45.0,180.0,4,5,18
5709,171.0,380.0,0,5,3
6428,9000.0,31000.0,4,5,22
4981,8000.0,28000.0,4,6,19
2751,13.12,89.99,0,4,22
2265,38000.0,89000.0,0,5,22
4836,6000.0,19000.0,0,5,5
267,14400.0,39000.0,2,4,5
4252,12000.0,42000.0,4,5,18
443,105.9,349.9,2,5,19
1065,47.75,189.99,0,6,3
3532,17.48,69.9,4,6,2
5324,6000.0,21000.0,0,6,14
6428,72.48,289.9,4,5,16
1572,11500.0,43500.0,4,1,5
5371,17.48,69.9,4,5,1
2206,59.7,199.0,0,4,21
2648,3000.0,9000.0,0,5,14
2945,10000.0,32000.0,0,5,21
2127,42.5,159.9,0,4,5
2152,33000.0,89000.0,1,5,18
5283,5000.0,12000.0,0,5,14
5319,8.5,39.9,0,4,1
5319,21.2,269.9,0,4,3
891,6.76,59.9,0,1,5
2966,17.5,69.99,0,5,10
1440,12.48,49.9,4,6,19
3896,10.58,69.9,0,4,22
4054,2000.0,4500.0,0,4,14
3812,31.94,127.77,4,6,7
13,56.98,259.9,4,5,18
5319,22.31,89.9,0,6,18
555,4000.0,8000.0,4,6,22
1096,10000.0,38000.0,4,1,21
6106,35.9,97.93,4,4,18
4102,28800.0,79000.0,4,5,0
6428,7000.0,15509.377945804938,4,6,18
2127,10.57,91.1,2,5,14
2641,24.4,78.99,0,4,1
1635,14000.0,50000.0,0,5,12
3949,13.38,110.99,0,5,18
408,10000.0,45000.0,0,5,18
237,187.5,750.0,4,5,16
2127,7000.0,21000.0,4,1,3
5011,8000.0,29000.0,4,1,1
2945,112.5,449.99,4,5,18
1494,59.93,599.0,0,6,18
4802,31.68,158.4,2,1,18
2668,155.0,449.0,4,5,22
322,5000.0,17500.0,4,5,18
1572,9900.0,15509.377945804938,4,5,9
5273,5000.0,16000.0,0,1,19
5878,12000.0,42000.0,0,5,5
5027,3500.0,11000.0,0,4,18
1924,70.0,260.0,0,5,12
3324,47.25,309.99,4,4,10
5519,31.27,139.0,4,5,12
36,19.9,69.9,4,5,12
909,83.7,279.99,4,5,15
2746,39.9,139.99,4,5,18
489,13000.0,42000.0,0,4,18
4502,32.48,129.9,0,5,0
5142,6500.0,45500.0,4,4,18
617,17.99,119.9,4,6,3
97,24.0,79.99,0,5,20
1595,6000.0,16000.0,0,4,19
322,7000.0,21000.0,4,5,5
2529,24.9,89.99,4,4,9
5319,21.9,55.0,0,4,21
4787,81.4,490.0,0,5,19
2384,6500.0,21000.0,4,5,1
3324,20.7,69.0,2,4,10
395,3000.0,8000.0,4,5,18
2569,3.14,101.47,0,5,1
4524,6000.0,18000.0,4,4,21
1065,30.0,119.99,0,6,14
1083,55.0,119.9,1,1,14
6021,12000.0,39000.0,0,4,14
5105,2500.0,15509.377945804938,0,4,3
4102,16500.0,43000.0,4,1,5
2127,4500.0,12000.0,4,5,0
5324,12.42,135.0,0,5,19
1886,19000.0,76000.0,4,5,21
5142,2000.0,9000.0,4,5,5
935,12000.0,42000.0,0,5,1
5319,22.5,89.99,0,6,14
2648,10000.0,35000.0,0,5,1
3002,6000.0,15000.0,0,5,18
6428,10000.0,35000.0,0,5,1
3561,90000.0,2.1,0,5,5
812,6000.0,15000.0,4,1,21
97,10.0,59.9,4,5,19
2569,9.97,119.9,4,5,18
5076,1500.0,5000.0,0,5,14
163,19.9,89.9,0,1,19
2302,50000.0,2.68,4,4,16
4833,35000.0,99000.0,0,5,22
2339,9900.0,33000.0,0,5,14
5788,12000.0,33000.0,4,4,18
2339,21000.0,64000.0,4,4,5
5834,9000.0,27000.0,0,1,1
1328,9000.0,27000.0,4,5,18
1572,18000.0,94000.0,4,5,16
3587,8000.0,29000.0,0,5,14
5319,81.0,270.0,0,1,14
4932,8000.0,25000.0,0,5,18
522,9000.0,27000.0,0,5,1
1840,13.98,578.0,4,6,2
891,11000.0,15509.377945804938,0,4,18
5878,14400.0,48000.0,4,5,13
322,17.69,329.99,4,5,18
6428,27.48,89.9,4,1,18
3369,17.97,59.9,4,5,9
5886,8500.0,15000.0,4,5,18
2649,30.85,89.9,0,4,1
6428,40.9,69.9,4,1,14
2280,6000.0,24000.0,4,5,1
3324,2400.0,4000.0,0,5,1
617,23.97,79.9,4,6,3
3382,9.55,89.9,4,5,1
322,29.9,89.9,4,1,9
2280,4000.0,12000.0,4,5,15
5270,12000.0,41000.0,0,5,21
517,16000.0,50000.0,0,5,18
6033,8.79,55.9,0,4,14
1572,8000.0,28000.0,4,5,1
2127,31.3,239.9,4,4,10
3229,34000.0,1.02,4,1,15
5074,10000.0,35000.0,0,5,6
5519,7900.0,18000.0,4,4,1
4787,21.0,69.99,0,4,6
5793,55.97,159.9,0,4,21
1691,7000.0,21000.0,0,5,20
4954,10000.0,35000.0,0,1,21
4841,34.2,114.0,0,4,1
2384,20000.0,60000.0,4,4,18
814,26700.0,85000.0,4,4,18
2280,58.0,179.9,4,5,5
3324,8000.0,26900.0,4,5,18
2280,3850.0,35000.0,0,1,18
4085,9000.0,35000.0,4,5,3
3818,18000.0,54000.0,0,5,1
5937,5000.0,15000.0,0,6,22
3402,55.0,219.99,4,4,18
814,87.25,329.0,4,5,18
4630,49.0,129.0,0,5,18
814,66.9,222.99,4,5,1
1196,19170.0,63900.0,0,5,19
6428,50.0,150.0,4,5,3
97,25.0,100.0,4,5,5
2289,4800.0,14400.0,0,4,18
2735,89.0,237.0,4,5,12
6428,21.0,69.99,4,4,22
5805,12000.0,49000.0,4,5,18
4014,3500.0,15509.377945804938,0,5,18
322,58.0,169.9,4,5,1
3859,10.0,29.9,4,5,18
5371,39.8,189.0,4,6,5
2648,17500.0,49000.0,0,5,1
1068,8000.0,15509.377945804938,4,6,1
3713,4000.0,15000.0,4,5,18
4306,72.9,169.9,0,1,1
510,57.0,189.99,4,6,20
339,30.0,109.0,4,6,3
5861,16.9,32.0,4,3,15
3289,10.0,39.99,0,5,22
6428,30000.0,90000.0,0,1,1
1885,9000.0,30000.0,1,1,3
4085,29.9,139.0,4,5,18
1211,45.0,70.0,0,4,10
1059,24000.0,90000.0,4,3,18
4970,10000.0,32000.0,2,5,3
634,17.95,89.99,0,4,1
3735,12.32,29.9,0,5,18
3242,25.7,69.0,4,5,3
1960,14400.0,49000.0,4,6,2
624,1.19,4.8,0,6,8
617,19.97,49.9,4,6,18
5371,7.26,99.0,0,5,21
2569,15000.0,52500.0,4,5,19
97,24.75,99.9,2,1,14
6428,9000.0,31000.0,4,5,18
8,10000.0,35000.0,0,5,1
6231,50.9,127.9,0,5,22
119,9.08,69.99,4,4,22
1216,26.11,117.05,4,6,5
396,14.9,49.99,0,5,0
4461,13.65,79.9,3,6,1
617,14000.0,42000.0,4,6,0
2127,1.9,6.65,0,4,21
322,10000.0,45000.0,0,5,19
1462,52.5,209.99,4,6,4
2529,31.96,79.9,0,5,14
406,24.2,64.0,4,5,18
5898,10000.0,32000.0,0,5,18
5324,51000.0,1.39,0,4,12
5022,19000.0,39000.0,4,5,15
2529,2400.0,15509.377945804938,4,5,21
2303,11000.0,45000.0,4,5,2
5385,28.7,79.0,4,5,22
322,200.7,669.0,4,5,18
3105,10.0,19.0,0,5,14
1434,32.5,129.99,1,5,3
3324,40000.0,90000.0,2,6,3
5965,6900.0,19000.0,0,6,12
625,12300.0,40900.0,4,6,22
4134,21000.0,63000.0,0,5,22
6428,10000.0,39000.0,4,1,1
2127,6000.0,21000.0,4,6,18
3397,22.25,89.0,0,6,21
814,11500.0,37000.0,4,4,22
1960,5000.0,15000.0,4,5,18
5350,15000.0,49000.0,4,5,9
97,1.36,79.99,4,6,18
2280,9.18,98.0,4,5,18
5283,95.0,379.99,4,5,16
2290,59.8,189.94,4,4,18
6428,119.9,419.99,4,1,19
5878,10000.0,35000.0,4,5,3
2653,6.97,89.99,0,6,14
1164,12000.0,38000.0,0,5,14
1688,34.0,85.0,0,6,14
4970,13.38,70.0,0,5,19
1428,27.48,109.9,0,6,3
2984,15000.0,48000.0,1,5,2
5050,28.9,69.9,0,5,18
4085,30000.0,1.05,4,5,1
6428,14400.0,41000.0,4,4,15
2127,7200.0,18000.0,0,5,10
2079,4800.0,9000.0,0,5,14
625,35.97,119.9,4,3,18
2127,8500.0,29000.0,4,5,14
812,13000.0,39000.0,4,5,5
6428,108.0,209.0,4,5,2
2280,31.96,79.91,0,1,19
5283,14000.0,39000.0,4,5,4
6500,14.9,59.99,0,5,10
4168,2000.0,8000.0,0,5,12
2995,17.6,44.9,0,5,19
4102,18.9,49.9,1,4,18
6428,12000.0,49000.0,0,4,22
3653,89.7,139.99,0,4,18
2384,9500.0,34000.0,0,4,20
2254,36.0,119.99,0,5,1
2418,8400.0,28000.0,0,4,18
6428,19.73,78.9,4,6,18
5358,23.97,79.9,0,4,10
4907,93.92,558.0,0,4,19
4498,8900.0,26000.0,0,5,18
1647,15.0,49.99,1,5,6
1870,20.1,67.0,0,4,19
6320,8000.0,36000.0,0,5,22
4355,29000.0,93000.0,4,5,5
909,8000.0,37000.0,4,6,18
5283,50000.0,1.8,2,5,2
2565,24.9,79.0,4,6,3
1065,10800.0,29000.0,0,6,14
5319,62000.0,1.89,0,6,22
4179,24.98,99.9,0,4,1
6007,14.9,49.9,0,4,18
2702,8500.0,29750.0,0,5,18
4168,3000.0,19000.0,2,5,7
5324,22.5,75.0,0,1,22
6428,24.98,99.9,4,5,18
2648,31.6,109.99,0,4,18
339,40.0,100.0,4,5,1
322,25.35,169.0,4,5,12
3657,5000.0,39000.0,4,5,3
3750,5000.0,11000.0,4,6,18
2722,1.467,4.89,0,5,1
5319,5000.0,12000.0,0,4,18
5426,10000.0,35000.0,4,6,11
4102,1500.0,5000.0,0,1,21
2741,15.0,59.99,0,4,14
2239,17.48,69.9,0,5,5
4875,23.73,99.9,4,6,2
5319,18.69,89.99,0,5,14
2290,17400.0,59000.0,4,5,14
3842,19.98,79.9,2,6,17
6428,1.68,79.9,4,1,14
5360,25.8,129.0,0,5,1
1628,5500.0,15509.377945804938,0,1,1
2584,83.9,210.0,0,6,14
3842,6000.0,21000.0,2,6,21
3216,13.98,69.9,0,5,1
5940,14.97,49.9,4,5,3
5898,16410.0,54700.0,4,5,1
2,8000.0,21000.0,4,6,3
457,65.0,259.99,4,5,1
6428,112.0,160.0,4,1,19
4875,6000.0,24000.0,4,5,18
4954,15.9,49.9,4,5,22
242,14.7,49.9,4,5,18
4085,12.0,39.99,4,5,0
2136,12.5,49.99,0,5,18
3804,24.75,99.0,4,1,18
472,70.0,279.99,0,4,5
2280,35000.0,99000.0,4,5,18
5371,29.0,179.0,4,5,18
274,14.97,49.9,0,4,22
2280,21.0,59.9,4,6,9
430,17.5,49.99,0,5,1
3105,12.0,39.99,0,5,1
5378,25.48,139.9,4,5,15
1773,11.9,39.9,0,5,12
5834,32000.0,99000.0,0,5,1
1412,12000.0,36000.0,0,4,16
6428,6000.0,17000.0,4,4,18
322,8000.0,28000.0,4,5,18
6033,62.5,249.99,4,4,0
1989,9000.0,34000.0,0,5,22
109,13000.0,52000.0,4,5,18
4761,24.9,69.99,1,5,19
5283,19000.0,52000.0,4,5,6
4085,28.02,109.9,2,5,22
2397,19.9,69.99,0,5,0
2668,22.38,113.22,4,5,9
3852,19.98,79.9,0,5,12
3315,12000.0,38900.0,4,5,1
1409,29.98,119.9,4,5,12
3324,59000.0,1.8,4,4,3
2680,8500.0,39000.0,4,5,9
5077,11.7,39.9,0,5,3
5319,10000.0,52000.0,0,4,3
6197,147.48,569.9,2,5,18
5319,35.9,119.9,0,5,14
6514,63000.0,2.6,0,5,6
617,9000.0,23000.0,4,6,19
2569,17.5,70.0,4,1,0
322,42.99,89.0,4,1,2
979,17.5,69.99,0,5,1
5319,2000.0,15509.377945804938,0,5,0
322,18000.0,57000.0,4,5,2
2104,22.01,79.9,4,5,1
97,10000.0,40000.0,0,5,19
6428,18000.0,49000.0,0,1,18
812,15000.0,52500.0,4,4,15
814,9000.0,31500.0,4,4,1
4047,4800.0,16800.0,0,4,18
3312,16.7,39.0,4,1,19
2529,16000.0,69000.0,0,4,22
1144,9000.0,28000.0,4,6,22
2166,3000.0,7000.0,4,6,16
3774,9500.0,25000.0,0,5,12
5385,9000.0,32000.0,4,5,9
5029,27.25,89.0,0,4,5
3242,52.47,149.9,4,6,21
4452,9000.0,27000.0,3,1,1
4252,20.77,52.57,4,5,1
3430,6200.0,18500.0,1,1,2
6428,15.2,239.99,4,5,5
3324,40.0,167.0,4,5,16
5130,4500.0,17990.0,0,5,1
5203,79.0,189.0,0,5,14
5643,24.9,89.99,4,6,17
3324,23.91,89.99,4,5,18
2945,29.9,99.99,4,4,5
3772,11.75,60.0,4,4,1
5920,88.5,295.0,0,5,21
2280,12000.0,61000.0,4,5,3
5371,35.97,119.9,4,5,19
3499,82000.0,4.25,4,5,18
223,7200.0,21600.0,0,5,14
4218,7.12,179.9,0,5,14
4085,20.97,59.9,4,5,12
1065,14.7,49.9,0,6,1
125,8000.0,28000.0,0,5,18
5180,6000.0,25000.0,0,6,1
6428,8000.0,28000.0,4,4,3
2018,23000.0,80500.0,0,5,18
5319,56.97,189.9,0,6,14
3054,5000.0,12900.0,0,4,19
2067,29.0,79.99,1,5,16
4980,28.9,219.0,0,4,14
225,10000.0,30000.0,0,6,1
5324,10000.0,31000.0,0,4,5
2280,11.12,239.0,0,4,1
5324,19.61,159.9,0,5,1
2708,18.13,99.9,0,5,19
6012,11000.0,39990.0,0,5,0
395,149.9,498.0,0,5,18
395,3500.0,10000.0,4,5,18
4085,8000.0,29000.0,2,5,16
519,37.5,149.99,0,1,14
3074,14400.0,49000.0,4,4,15
252,22.48,89.9,4,6,1
5412,24.98,99.9,0,4,1
5319,42.98,189.9,0,4,1
60,27.0,89.99,0,4,14
322,5.17,69.0,4,5,21
3293,20.0,90.0,0,4,18
6428,31.97,89.9,4,5,15
322,7225.0,20000.0,4,5,1
1646,5500.0,15509.377945804938,0,4,12
6504,5.99,79.9,0,4,14
3457,19.98,79.9,4,5,3
5771,21.0,59.9,0,4,14
1016,25.0,59.0,0,1,14
5378,20000.0,15509.377945804938,4,5,2
5385,12000.0,35900.0,4,5,1
5360,23.9,89.9,0,5,5
3607,30000.0,99000.0,4,5,16
6428,14400.0,35990.0,4,5,14
3486,55.0,159.0,0,4,5
97,6000.0,21000.0,4,5,21
3859,89.9,299.99,4,4,18
2945,6.99,11.7,1,4,18
6466,8000.0,26000.0,0,4,1
2949,4000.0,11000.0,2,5,14
1850,34800.0,87600.0,4,5,9
540,25000.0,89000.0,0,6,14
5274,14.7,49.0,0,4,3
3518,22.5,89.99,4,5,22
395,5500.0,16000.0,0,5,12
4430,7.22,25.0,0,5,14
1328,22.49,139.9,4,4,18
1486,135.0,184.0,4,5,2
1741,12500.0,34000.0,4,5,2
5150,56.9,189.9,0,6,1
1044,12000.0,39000.0,4,6,18
5687,12.48,49.9,4,5,18
5726,22.5,89.99,0,5,14
1933,12600.0,69000.0,0,5,1
6428,40.0,119.0,0,5,16
5578,6000.0,12000.0,0,5,14
1261,12.5,50.0,4,5,5
563,16000.0,49000.0,0,5,14
172,7225.0,25500.0,0,6,12
3376,25.5,89.9,0,5,12
1676,942.9,6286.0,0,4,18
5027,4000.0,15509.377945804938,0,3,18
5371,243.9,813.0,0,5,16
2062,10000.0,39000.0,4,5,18
6293,12.4,89.99,2,4,18
2166,16.13,89.99,4,6,2
4604,7200.0,23000.0,0,6,12
4781,3600.0,9000.0,0,5,18
378,4000.0,12000.0,0,4,14
1032,18.5,59.99,4,5,14
2752,3800.0,9000.0,0,5,1
43,60.0,189.0,4,5,22
1462,20.7,69.0,4,5,20
3410,21.0,69.99,0,4,20
5878,14.9,39.99,4,6,1
5385,15.0,59.99,4,5,18
891,10000.0,35000.0,0,5,5
3928,99.9,300.0,4,6,5
5385,34.9,189.0,4,5,18
3324,6000.0,21000.0,4,5,18
1572,10000.0,34000.0,4,4,3
2487,10000.0,29000.0,4,1,9
1143,10000.0,29000.0,0,3,19
3971,7.57,59.9,4,5,18
5861,36.25,144.99,0,4,5
97,12000.0,36000.0,1,5,6
5861,6000.0,18000.0,4,4,16
6428,39950.0,1.41,4,6,18
2839,24.0,79.9,2,4,18
3430,18000.0,59000.0,1,5,14
3894,13.8,45.9,4,5,17
6086,25200.0,51000.0,0,6,1
4069,73.7,229.0,4,4,18
4085,67.0,139.99,4,5,18
1500,7000.0,21000.0,4,5,1
2018,6.89,40.0,4,1,10
2569,26.9,69.9,4,5,21
2569,59.0,189.99,4,5,3
322,53.97,179.9,4,1,1
4958,51.6,129.9,0,5,18
133,14.98,59.9,2,5,9
4085,9.22,139.9,4,4,0
617,1500.0,3500.0,4,6,2
322,599.99,2000.0,4,1,22
2945,79.0,349.0,0,1,1
1068,7000.0,21000.0,4,6,1
4179,49.98,179.9,0,5,18
242,34000.0,1.05,0,5,19
1850,6000.0,21000.0,1,5,14
3338,15.0,79.9,4,6,21
6428,27.9,60.0,2,4,15
4551,29.9,79.9,0,5,21
5728,6.93,89.9,0,6,19
4802,30.0,45.0,2,4,7
3433,20000.0,49000.0,0,4,18
5861,14.98,59.9,4,5,2
5008,19000.0,70000.0,2,5,14
5788,5000.0,10000.0,4,4,18
2104,23.5,200.0,4,5,3
4213,34.98,139.9,0,5,14
5861,7.25,369.99,0,4,14
6428,15000.0,53000.0,0,1,14
1065,36.0,119.99,0,6,12
1803,21000.0,73000.0,4,5,19
6428,11000.0,39000.0,0,5,5
5319,45.9,189.0,0,5,18
1044,5600.0,21000.0,4,5,3
4287,22.48,89.9,0,1,1
6428,65000.0,1.4,4,6,18
6428,18000.0,89000.0,4,4,18
4486,8000.0,28000.0,1,5,19
3817,47.0,89.9,4,5,18
3793,80.7,269.0,0,5,21
422,4000.0,12000.0,0,1,14
2384,16000.0,39000.0,4,4,1
1016,5400.0,14500.0,4,5,1
2648,26.23,99.9,0,5,19
2922,1.1,3.5,0,4,1
2569,40000.0,2.3,0,5,22
5825,23000.0,92000.0,0,1,19
2384,146.41,689.0,0,4,5
406,12000.0,38900.0,4,5,18
4085,12000.0,36000.0,4,5,15
2491,38.0,119.9,4,4,1
4741,3600.0,9000.0,0,3,18
6019,13000.0,40000.0,0,6,1
463,35000.0,2.1,4,5,5
5369,6000.0,21500.0,0,6,12
891,9800.0,39000.0,0,1,22
6428,44.9,129.99,0,1,12
395,38.98,135.9,4,5,22
5861,20.9,49.9,4,6,2
1462,7000.0,21000.0,4,4,3
1829,19.98,79.9,4,5,18
2280,137.8,689.0,0,4,18
3224,17.5,69.99,0,5,1
565,16.77,55.9,4,5,11
2537,12000.0,36000.0,0,5,18
322,113.48,453.9,4,5,18
1633,29.0,79.99,4,4,21
5625,27.5,89.99,0,4,18
5963,12500.0,39000.0,4,5,10
3324,458.25,1309.29,4,5,9
93,14.05,56.2,0,5,6
1017,60.0,500.0,2,5,2
97,16800.0,49000.0,2,6,18
3793,27.25,89.0,0,5,22
6428,8500.0,30000.0,4,5,1
6428,22000.0,69000.0,4,5,15
3430,82.0,179.9,1,4,21
6395,34.97,99.9,0,5,18
302,52.25,188.99,1,5,16
6428,27.0,80.0,4,5,4
322,12.0,39.99,4,5,19
4083,19.9,69.99,4,5,7
3156,12000.0,40000.0,0,5,18
1829,24.92,56.9,4,5,1
3772,21.0,129.99,4,4,1
4541,119.0,316.0,0,5,18
2127,76.9,239.9,4,4,12
979,17.77,79.0,4,5,21
2784,52.5,430.0,4,5,22
814,13.8,69.0,4,5,18
1998,9000.0,21000.0,0,1,19
1016,2.8,11.45,2,1,1
